timestamp,git,seed,hidden_sizes,dropout,lr,batch_size,epochs,n_params,final_val_acc,best_val_acc,best_epoch,final_val_loss,final_train_acc,train_minus_val,seconds,model,model_args,val_acc,val_loss,train_acc,config,acc_shift_1px,acc_shift_2px,acc_shift_3px,acc_shift_4px
2026-08-18T21:23:48,0318d43,0,128,0.0,0.001,64,10,101770.0,0.97024,0.97024,10.0,0.09988,0.99506,0.02482,9.0,,,,,,,,,,
2026-08-18T21:23:57,0318d43,1,128,0.0,0.001,64,10,101770.0,0.96738,0.96738,10.0,0.11094,0.99176,0.02438,8.5,,,,,,,,,,
2026-08-18T21:24:06,0318d43,2,128,0.0,0.001,64,10,101770.0,0.96857,0.96869,7.0,0.10209,0.99464,0.02607,9.2,,,,,,,,,,
2026-08-18T21:24:15,0318d43,3,128,0.0,0.001,64,10,101770.0,0.96964,0.96964,10.0,0.10019,0.99339,0.02375,9.5,,,,,,,,,,
2026-08-18T21:24:25,0318d43,4,128,0.0,0.001,64,10,101770.0,0.96964,0.96964,10.0,0.10395,0.99348,0.02384,9.5,,,,,,,,,,
2026-08-18T21:24:39,0318d43,0,256-128,0.0,0.001,64,10,235146.0,0.97226,0.97452,9.0,0.11508,0.99604,0.02378,13.8,,,,,,,,,,
2026-08-18T21:24:52,0318d43,1,256-128,0.0,0.001,64,10,235146.0,0.97274,0.97536,8.0,0.11423,0.99574,0.02301,13.6,,,,,,,,,,
2026-08-18T21:25:06,0318d43,2,256-128,0.0,0.001,64,10,235146.0,0.97012,0.97417,8.0,0.12073,0.99476,0.02464,13.9,,,,,,,,,,
2026-08-18T21:25:20,0318d43,3,256-128,0.0,0.001,64,10,235146.0,0.97024,0.97274,6.0,0.1298,0.99187,0.02164,14.2,,,,,,,,,,
2026-08-18T21:25:35,0318d43,4,256-128,0.0,0.001,64,10,235146.0,0.9725,0.97393,8.0,0.12031,0.99542,0.02292,14.4,,,,,,,,,,
2026-08-18T21:26:02,0318d43,0,512-256-128,0.0,0.001,64,10,567434.0,0.97429,0.97429,10.0,0.10672,0.99521,0.02092,27.0,,,,,,,,,,
2026-08-18T21:26:30,0318d43,1,512-256-128,0.0,0.001,64,10,567434.0,0.97464,0.97464,10.0,0.11166,0.99753,0.02289,28.5,,,,,,,,,,
2026-08-18T21:27:00,0318d43,2,512-256-128,0.0,0.001,64,10,567434.0,0.9725,0.97321,8.0,0.12348,0.99527,0.02277,29.8,,,,,,,,,,
2026-08-18T21:27:30,0318d43,3,512-256-128,0.0,0.001,64,10,567434.0,0.97,0.97476,7.0,0.15506,0.99274,0.02274,29.6,,,,,,,,,,
2026-08-18T21:27:59,0318d43,4,512-256-128,0.0,0.001,64,10,567434.0,0.97345,0.9756,8.0,0.12371,0.99488,0.02143,29.4,,,,,,,,,,
2026-08-18T22:00:41,0,128,0.0,0.001,64.0,10,101770,0.97024,0.97024,10.0,0.09988,0.99506,0.02482,9.5,,,,,,,,,,,
2026-08-18T22:00:50,1,128,0.0,0.001,64.0,10,101770,0.96738,0.96738,10.0,0.11094,0.99176,0.02438,9.0,,,,,,,,,,,
2026-08-18T22:00:59,2,128,0.0,0.001,64.0,10,101770,0.96857,0.96869,7.0,0.10209,0.99464,0.02607,9.6,,,,,,,,,,,
2026-08-18T22:01:09,3,128,0.0,0.001,64.0,10,101770,0.96964,0.96964,10.0,0.10019,0.99339,0.02375,9.9,,,,,,,,,,,
2026-08-18T22:01:19,4,128,0.0,0.001,64.0,10,101770,0.96964,0.96964,10.0,0.10395,0.99348,0.02384,10.0,,,,,,,,,,,
2026-08-18T22:01:33,0,256-128,0.0,0.001,64.0,10,235146,0.97226,0.97452,9.0,0.11508,0.99604,0.02378,13.5,,,,,,,,,,,
2026-08-18T22:01:47,1,256-128,0.0,0.001,64.0,10,235146,0.97274,0.97536,8.0,0.11423,0.99574,0.02301,13.9,,,,,,,,,,,
2026-08-18T22:02:01,2,256-128,0.0,0.001,64.0,10,235146,0.97012,0.97417,8.0,0.12073,0.99476,0.02464,14.1,,,,,,,,,,,
2026-08-18T22:02:15,3,256-128,0.0,0.001,64.0,10,235146,0.97024,0.97274,6.0,0.1298,0.99187,0.02164,14.6,,,,,,,,,,,
2026-08-18T22:02:30,4,256-128,0.0,0.001,64.0,10,235146,0.9725,0.97393,8.0,0.12031,0.99542,0.02292,14.6,,,,,,,,,,,
2026-08-18T22:02:57,0,512-256-128,0.0,0.001,64.0,10,567434,0.97429,0.97429,10.0,0.10672,0.99521,0.02092,26.9,,,,,,,,,,,
2026-08-18T22:03:25,1,512-256-128,0.0,0.001,64.0,10,567434,0.97464,0.97464,10.0,0.11166,0.99753,0.02289,27.6,,,,,,,,,,,
2026-08-18T22:03:53,2,512-256-128,0.0,0.001,64.0,10,567434,0.9725,0.97321,8.0,0.12348,0.99527,0.02277,28.7,,,,,,,,,,,
2026-08-18T22:04:22,3,512-256-128,0.0,0.001,64.0,10,567434,0.97,0.97476,7.0,0.15506,0.99274,0.02274,28.4,,,,,,,,,,,
2026-08-18T22:04:52,4,512-256-128,0.0,0.001,64.0,10,567434,0.97345,0.9756,8.0,0.12371,0.99488,0.02143,30.1,,,,,,,,,,,
2026-08-19T00:08:27,0,128,0.0,0.001,64.0,10,101770,0.97024,0.97024,10.0,0.09988,0.99506,0.02482,15.0,,,,,,,,,,,
2026-08-19T00:08:42,1,128,0.0,0.001,64.0,10,101770,0.96738,0.96738,10.0,0.11094,0.99176,0.02438,14.8,,,,,,,,,,,
2026-08-19T00:09:00,2,128,0.0,0.001,64.0,10,101770,0.96857,0.96869,7.0,0.10209,0.99464,0.02607,18.2,,,,,,,,,,,
2026-08-19T00:09:20,3,128,0.0,0.001,64.0,10,101770,0.96964,0.96964,10.0,0.10019,0.99339,0.02375,19.4,,,,,,,,,,,
2026-08-19T00:09:40,4,128,0.0,0.001,64.0,10,101770,0.96964,0.96964,10.0,0.10395,0.99348,0.02384,20.0,,,,,,,,,,,
2026-08-19T00:10:06,0,256-128,0.0,0.001,64.0,10,235146,0.97226,0.97452,9.0,0.11508,0.99604,0.02378,26.3,,,,,,,,,,,
2026-08-19T00:10:31,1,256-128,0.0,0.001,64.0,10,235146,0.97274,0.97536,8.0,0.11423,0.99574,0.02301,24.5,,,,,,,,,,,
2026-08-19T00:11:01,2,256-128,0.0,0.001,64.0,10,235146,0.97012,0.97417,8.0,0.12073,0.99476,0.02464,30.7,,,,,,,,,,,
2026-08-19T00:11:34,3,256-128,0.0,0.001,64.0,10,235146,0.97024,0.97274,6.0,0.1298,0.99187,0.02164,33.1,,,,,,,,,,,
2026-08-19T00:12:10,4,256-128,0.0,0.001,64.0,10,235146,0.9725,0.97393,8.0,0.12031,0.99542,0.02292,35.4,,,,,,,,,,,
2026-08-19T00:13:11,0,512-256-128,0.0,0.001,64.0,10,567434,0.97429,0.97429,10.0,0.10672,0.99521,0.02092,60.9,,,,,,,,,,,
2026-08-19T00:14:07,1,512-256-128,0.0,0.001,64.0,10,567434,0.97464,0.97464,10.0,0.11166,0.99753,0.02289,55.8,,,,,,,,,,,
2026-08-19T00:15:05,2,512-256-128,0.0,0.001,64.0,10,567434,0.9725,0.97321,8.0,0.12348,0.99527,0.02277,58.7,,,,,,,,,,,
2026-08-19T00:16:02,3,512-256-128,0.0,0.001,64.0,10,567434,0.97,0.97476,7.0,0.15506,0.99274,0.02274,57.0,,,,,,,,,,,
2026-08-19T00:16:56,4,512-256-128,0.0,0.001,64.0,10,567434,0.97345,0.9756,8.0,0.12371,0.99488,0.02143,53.6,,,,,,,,,,,
2026-08-19T15:08:07,0,128,0.0,0.001,64.0,10,101770,0.97024,0.97024,10.0,0.09988,0.99506,0.02482,9.6,,,,,,,,,,,
2026-08-19T15:08:16,1,128,0.0,0.001,64.0,10,101770,0.96738,0.96738,10.0,0.11094,0.99176,0.02438,9.0,,,,,,,,,,,
2026-08-19T15:08:25,2,128,0.0,0.001,64.0,10,101770,0.96857,0.96869,7.0,0.10209,0.99464,0.02607,9.5,,,,,,,,,,,
2026-08-19T15:08:35,3,128,0.0,0.001,64.0,10,101770,0.96964,0.96964,10.0,0.10019,0.99339,0.02375,9.7,,,,,,,,,,,
